B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula,,
Sagri Snail 100 gr,sagrisnail100gr,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,15,
NPK Cair Fertilizer 1 lt,npkcairfertilizer1lt,54.17%,Pak Tani Fertila 8-15-19,paktanifertila81519,Pak Tani,Majemuk,8-15-19,20,
sayur sinta 100gr,sayursinta100gr,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,15,
soklin lantai 1000,soklinlantai1000,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,16,
Sagrisnail100gr,sagrisnail100gr,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,15,
Silikon super1ltr,silikonsuper1ltr,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,16,
NPK Unik 16 16 16 YaraMila,npkunik161616yaramila,54.17%,Pak Tani  16-16-16 Merah,paktani161616merah,Pak Tani,Majemuk,16-16-16,21,
NPK kancil 161616 harmoni,npkkancil161616harmoni,54.17%,Pak Tani  16-16-16 Merah,paktani161616merah,Pak Tani,Majemuk,16-16-16,22,
NPK Pelangi 16-16-16 Blending,npkpelangi161616blending,54.17%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,24,
MUTIARA MERAUKE 16 50KG,mutiaramerauke1650kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,20,
mutiara yaramila 50 kg,mutiarayaramila50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,19,
padi kencana merah,padikencanamerah,54.17%,Pak Tani  16-16-16 Merah,paktani161616merah,Pak Tani,Majemuk,16-16-16,16,
BESI 10 FULL MERAH,besi10fullmerah,54.17%,Pak Tani  16-16-16 Merah,paktani161616merah,Pak Tani,Majemuk,16-16-16,15,
mutiara Yara Mila 50 kg,mutiarayaramila50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,19,
Plenum 50 WG @25 gram,plenum50wg25gram,54.17%,Magnum 15-10-22-2Mg-3.8S,magnum1510222mg38s,Pak Tani,Majemuk,15-10-22,16,
NPK Booster DGW @ 50 kg,npkboosterdgw50kg,54.17%,BOOSTER DGW 12-6-22-3+TE,boosterdgw126223te,DGW/Hextar,Majemuk,12-6-22,17,
mutiara yara mila @50kg,mutiarayaramila50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,19,
NPK Nitroku Prima 16-16-16 1Kg,npknitrokuprima1616161kg,54.17%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,24,
sagri snail 100gr,sagrisnail100gr,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,15,
Booster 250kg 80ml,booster250kg80ml,54.17%,BOOSTER DGW 12-6-22-3+TE,boosterdgw126223te,DGW/Hextar,Majemuk,12-6-22,16,
sinabintop 100ml,sinabintop100ml,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,15,
Plenum 50 WG   25 gram,plenum50wg25gram,54.17%,Magnum 15-10-22-2Mg-3.8S,magnum1510222mg38s,Pak Tani,Majemuk,15-10-22,16,
PLENUM 50WG (25GRAM(,plenum50wg25gram,54.17%,Magnum 15-10-22-2Mg-3.8S,magnum1510222mg38s,Pak Tani,Majemuk,15-10-22,16,
mutiara maraoke 50 kg,mutiaramaraoke50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,18,
gramoxonn 100 ml,gramoxonn100ml,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,14,
Avolution Menthol 20,avolutionmenthol20,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,18,
Mutiara Yarra Mila 50 kg,mutiarayarramila50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,20,
NPK Pelangi Joss 16-16-16 @50kg,npkpelangijoss16161650kg,54.17%,Pelangi 16-16-16,pelangi161616,PIHC,Majemuk,16-16-16,24,
bolt ikan tuna 20kg,boltikantuna20kg,54.17%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,16,
Plenum 50WG 25gram,plenum50wg25gram,54.17%,Magnum 15-10-22-2Mg-3.8S,magnum1510222mg38s,Pak Tani,Majemuk,15-10-22,16,
Boster Coolant 1ltr,bostercoolant1ltr,54.17%,BOOSTER DGW 12-6-22-3+TE,boosterdgw126223te,DGW/Hextar,Majemuk,12-6-22,17,
plenum 50 wg 25 gram,plenum50wg25gram,54.17%,Magnum 15-10-22-2Mg-3.8S,magnum1510222mg38s,Pak Tani,Majemuk,15-10-22,16,
mutiara yara unik 50kg,mutiarayaraunik50kg,54.17%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,19,
Npk mutiara 16.16.16 karungan,npkmutiara161616karungan,54.17%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,24,
NPK Tawon 161616 kemasan 1,npktawon161616kemasan1,54.17%,Pak Tani  16-16-16 Merah,paktani161616merah,Pak Tani,Majemuk,16-16-16,22,
BABLAS 1 LTR,bablas1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
NPK PAKTANI 1KG,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
KCL Mahkota 2 Kg,kclmahkota2kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
KCL Mahkota 5 Kg,kclmahkota5kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
MAP santani 1kg,mapsantani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
ZA Mahkota 50 Kg,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Bablas1ltr,bablas1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
ZA petro nonsub,zapetrononsub,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
bablas 1ltr,bablas1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
NPK pak tani 1kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
ZA Petro Repack,zapetrorepack,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
NPK Pak tani 1 Kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
Sidatan 410SL 400ml,sidatan410sl400ml,53.85%,PN PAK TANI 13-0-46+0.55Cl,pnpaktani13046055cl,Pak Tani,Majemuk,13-0-46,17,
za petro non sub,zapetrononsub,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
Omni-Top 1liter,omnitop1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
Sidatan 410 SL 200 mll,sidatan410sl200mll,53.85%,PN PAK TANI 13-0-46+0.55Cl,pnpaktani13046055cl,Pak Tani,Majemuk,13-0-46,18,
HSP asvita 25kg,hspasvita25kg,53.85%,HSP Astiva,hspastiva,Tawon,Fosfat,NA,13,
Npk pak Tani @1 kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
NPK Pak Tani @ 1 Kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
MKP @1Kg Pak Tani,mkp1kgpaktani,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
RP Mahkota Peru,rpmahkotaperu,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
SP PHOSGRO @50 kg,spphosgro50kg,53.85%,Phosgro,phosgro,Pak Tani,Fosfat,NA,13,
ZA mahkota @50 kg,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
NPK Pak Tani@1kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
16 16 16 pak tani,161616paktani,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
Meroke Mag-S @ 1 Kg,merokemags1kg,53.85%,MerokeZA,merokeza,Mutiara,ZA,NA,13,
NPK Pak Tani @1kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
ZA Mahkota 50 kg,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Pupuk Nitrea@25,pupuknitrea25,53.85%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,13,
Bablas@1ltr,bablas1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
ZA MAHKOTA @50KG,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Bablas@5ltr,bablas5ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
NPK Compaction 15+TE @ 50 Kg,npkcompaction15te50kg,53.85%,COMPACTION DGW 15-15-15+TE,compactiondgw151515te,DGW/Hextar,Majemuk,15-15-15,21,
ZA Mahkota @ 50 Kg,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
UREA NS 50KG PIM,ureans50kgpim,53.85%,Urea PIM,ureapim,PIHC,Urea,NA,13,
UREA NS PIM 50KG,ureanspim50kg,53.85%,Urea PIM,ureapim,PIHC,Urea,NA,13,
Omni-Top - 1 liter,omnitop1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
Ferthipos 50Kg,ferthipos50kg,53.85%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,13,
GaPLUs 35 ml,gaplus35ml,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
mestisol k 400g,mestisolk400g,53.85%,Mesti-Rock,mestirock,LaoYing,Fosfat,NA,13,
ZA NS @50 KG petro,zans50kgpetro,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
SIDATAN 410SL (400ML),sidatan410sl400ml,53.85%,PN PAK TANI 13-0-46+0.55Cl,pnpaktani13046055cl,Pak Tani,Majemuk,13-0-46,17,
ZA Petro NS @50 KG,zapetrons50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
MPK Pak Tani 1 Kg,mpkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
POSHGREEN 50 Kg,poshgreen50kg,53.85%,Phosgreen,phosgreen,PIHC,Fosfat,NA,13,
ZA Petro Ns @50kg,zapetrons50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
KNO Pak Tani 2 Kg,knopaktani2kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
16-16-16 pak tani,161616paktani,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
Zi plus 1kg,ziplus1kg,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,9,
ZA NS Petro @50Kg,zanspetro50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
Za NS Petro @50 kg,zanspetro50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
NPK Pak Tani 1 kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
KCL Mahkota 1 Kg,kclmahkota1kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Za Petro NS 50kg,zapetrons50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
Za Mahkota 50kg,zamahkota50kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Phonska gresik,phonskagresik,53.85%,Phosgreen,phosgreen,PIHC,Fosfat,NA,13,
ZA Petro petani,zapetropetani,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
ZA NS Petro @25kg,zanspetro25kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
ZA Petro NS 50 kg,zapetrons50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
Omni Top 1liter,omnitop1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
Sanstar 1 liter,sanstar1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
mutiara Belarusia 50 kg,mutiarabelarusia50kg,53.85%,Mutiara GROWER 15-09-20+TE,mutiaragrower150920te,Mutiara,Majemuk,15-9-20,20,
ZA padi kencana,zapadikencana,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
ZA Petro NS 50 kg,zapetrons50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
CIGATER 1 Liter,cigater1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
KCL Mahkota - 1kg,kclmahkota1kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
ZA NS Petro@50kg,zanspetro50kg,53.85%,ZA Petro,zapetro,PIHC,ZA,NA,13,
kcl mahkota opp,kclmahkotaopp,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
NPK PELANGI BLD 12-12-17-2 @50 KG NS,npkpelangibld121217250kgns,53.85%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,26,
ransus 1ltr,ransus1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
KCL Mahkota 1kg,kclmahkota1kg,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
ZA Mahkota 50gr,zamahkota50gr,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
Meroke MAG-S 1kg,merokemags1kg,53.85%,MerokeZA,merokeza,Mutiara,ZA,NA,13,
Ferthipos 50 kg,ferthipos50kg,53.85%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,13,
pakan ikan spla no 01/zak,pakanikansplano01zak,53.85%,Pak Tani Holland  15-15-15,paktaniholland151515,Pak Tani,Majemuk,15-15-15,20,
MAHKOTA KCL MOP,mahkotakclmop,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
om nitop 1liter,omnitop1liter,53.85%,Nitralite,nitralite,PIHC,Nitrogen,NA,13,
MENTARI KCL MOP,mentarikclmop,53.85%,MerokeMOP,merokemop,Mutiara,Kalium,NA,13,
zenus 1 ltr,zenus1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,9,
npk pak tani @  1kg,npkpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
za mahkota50kl,zamahkota50kl,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
za mahkota50kl,zamahkota50kl,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
bablas 1 tr,bablas1tr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,9,
CNG PAK TANI 1KG,cngpaktani1kg,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
Bablas 1 ltr,bablas1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,10,
kcl mahkota oop,kclmahkotaoop,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
urea fathuroji,ureafathuroji,53.85%,Urea Petro,ureapetro,PIHC,Urea,NA,13,
KCL MAHKOTA MOP,kclmahkotamop,53.85%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,13,
aplus 1kg,aplus1kg,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,8,
fertifort plus,fertifortplus,53.85%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,13,
Zenus @1ltr,zenus1ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,9,
Maroke SOP 25 kg,marokesop25kg,53.85%,MerokeROCK,merokerock,Mutiara,Fosfat,NA,13,
Zenus 2ltr,zenus2ltr,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,9,
Phosgro sp 50 kg,phosgrosp50kg,53.85%,Phosgro,phosgro,Pak Tani,Fosfat,NA,13,
ZA Cap Tani Jaya,zacaptanijaya,53.85%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,13,
ZA PLUS NS @25KG,zaplusns25kg,53.85%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,12,
NPK PELANGI 12-12-17-2 BLD NS @50KG,npkpelangi1212172bldns50kg,53.85%,Pelangi 12-12-17-2,pelangi1212172,PIHC,Majemuk,12-12-17,26,
Kacang Pertiwi 500 gram,kacangpertiwi500gram,53.57%,Pak Tani Fertila 20-10-12+TE,paktanifertila201012te,Pak Tani,Majemuk,20-10-12,20,
Gudang Garam Profesional,gudanggaramprofesional,53.57%,Mutiara PROFESSIONAL 9-25-25,mutiaraprofessional92525,Mutiara,Majemuk,9-25-25,22,
kacang pertiwi 100gram,kacangpertiwi100gram,53.57%,Pak Tani Fertila  18-6-14+5S,paktanifertila186145s,Pak Tani,Majemuk,18-6-14,20,
geo mild f16,geomildf16,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,10,
Perkil 500 ml,perkil500ml,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,11,
NPK 16 16 16 20kg,npk16161620kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
FORSIL 500 ML,forsil500ml,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,11,
FORSIL 500ML,forsil500ml,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,11,
npk161616 tawon,npk161616tawon,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,14,
Fertifos kuning,fertifoskuning,53.33%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,14,
M-161616 @50kg,m16161650kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,11,
Dgw 151515 @50kg,dgw15151550kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
NPK 16-16-16 Yara,npk161616yara,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
pupuk NPK basf 15-15-15 eceran,pupuknpkbasf151515eceran,53.33%,Phonska Plus 15-15-15+9S+0.2Zn,phonskaplus1515159s02zn,PIHC,Majemuk,15-15-15,24,
Ultradap pak tani,ultradappaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
NPK 16 16 16 tawon,npk161616tawon,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,14,
Urea Cap Daun @50 kg,ureacapdaun50kg,53.33%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,15,
Fertipos Pak Tani,fertipospaktani,53.33%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,15,
Promin kecil,prominkecil,53.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,11,
Kangkung Pak Tani,kangkungpaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
NPK 16 16 16 @50Kg,npk16161650kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
Ciherang Pak Tani,ciherangpaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
Npk 16.16.16 @20 kg,npk16161620kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
npk 16.16.16 @20kg,npk16161620kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
calsium petro cas,calsiumpetrocas,53.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,15,
ultradap pak tani,ultradappaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
NPK PHONSKA PLUS @25KG - EKSTERNAL,npkphonskaplus25kgeksternal,53.33%,Phonska Plus 15-15-15+9S+0.2Zn,phonskaplus1515159s02zn,PIHC,Majemuk,15-15-15,27,
Npk 16.16.16 @50kg,npk16161650kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
Vertibak 100 gr,vertibak100gr,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,13,
petro 16-16 per bal,petro1616perbal,53.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,15,
Bersilalang 1 L,bersilalang1l,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,13,
Saprodap Pak Tani,saprodappaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
NPK 16-16-16 Tawon,npk161616tawon,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,14,
inpari 32 pak tani,inpari32paktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
nitrea pusri@50kg,nitreapusri50kg,53.33%,Urea Pusri,ureapusri,PIHC,Urea,NA,15,
kaptan calcium,kaptancalcium,53.33%,CANTIK CALCINIT,cantikcalcinit,BASF,Nitrogen,NA,13,
"NPK PELANGI FUSE 13-6-27-4+0,65 B @50 KG NS",npkpelangifuse136274065b50kgns,53.33%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,30,
NPK PELANGI BLENDING 13-6-27-4 @50 KG NS,npkpelangiblending13627450kgns,53.33%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,30,
ferthipos kuning,ferthiposkuning,53.33%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,15,
mesti spirit mg=27,mestispiritmg27,53.33%,MestiKisrit,mestikisrit,LaoYing,Mg,NA,15,
NPK PELANGI BLANDING 13-6-27-4 @50 KG NS,npkpelangiblanding13627450kgns,53.33%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,30,
bersilalang 1L,bersilalang1l,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,13,
Ultradap PakTani,ultradappaktani,53.33%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,15,
Fertibio pak tani,fertibiopaktani,53.33%,Fertikali,fertikali,Pak Tani,Kalium,NA,15,
perkil 400ml,perkil400ml,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,11,
NPK 16.16.16 20kg,npk16161620kg,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,13,
Npk 16.16.16 tawon,npk161616tawon,53.33%,DGW 16-16-16+TE,dgw161616te,DGW/Hextar,Majemuk,16-16-16,14,
Kaptan Petrocash,kaptanpetrocash,53.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,15,
Petrocash / Kaptan,petrocashkaptan,53.33%,Petro-CAS,petrocas,PIHC,Mikro,NA,15,
petrosida gresik,petrosidagresik,53.33%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,15,
Hi-kay 13-6-17,hikay13617,53.33%,FERTILA 0-16-17,fertila01617,Pak Tani,Majemuk,0-16-17,10,
CABION 100 GR,cabion100gr,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,11,
pupuk urea petro 5kg,pupukureapetro5kg,52.94%,Urea Petro,ureapetro,PIHC,Urea,NA,17,
canon 100ml,canon100ml,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,10,
Atabron 100 ML,atabron100ml,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,12,
Niklosan 100 ml,niklosan100ml,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Niklosan 200 ml,niklosan200ml,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Niklosan 400 ml,niklosan400ml,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Centa-Zole 80 ml,centazole80ml,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,13,
Canita Tawon 1 kg,canitatawon1kg,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,14,
npk Mutiara 50kg,npkmutiara50kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,14,
Matador 100 ml,matador100ml,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,12,
Pupuk Urea Pusri (1Kg),pupukureapusri1kg,52.94%,Urea Pusri,ureapusri,PIHC,Urea,NA,17,
Matador 100ml,matador100ml,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,12,
Golden gold 1lt,goldengold1lt,52.94%,GOLD DGW 16-10-18,golddgw161018,DGW/Hextar,Majemuk,16-10-18,13,
Golder 400ml,golder400ml,52.94%,GOLD DGW 16-10-18,golddgw161018,DGW/Hextar,Majemuk,16-10-18,11,
Fertiphos hijo 50kg,fertiphoshijo50kg,52.94%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,17,
NPK BINTANG DAUN,npkbintangdaun,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,14,
NPK Jeranti @1kg,npkjeranti1kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
NPK Jeranti @5kg,npkjeranti5kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
NPK Jeranti @5 kg,npkjeranti5kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Kcl kunjang,kclkunjang,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,10,
polibag 18x18,polibag18x18,52.94%,GOLD DGW 16-10-18,golddgw161018,DGW/Hextar,Majemuk,16-10-18,12,
PAKU RENG KAYU,pakurengkayu,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,12,
NPK 30 6 8 KUJANG,npk3068kujang,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,13,
Urea petro nitrogen,ureapetronitrogen,52.94%,Urea Petro,ureapetro,PIHC,Urea,NA,17,
NPK 30 6 8 kujang 1kg,npk3068kujang1kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,16,
Ciptaden jumbo,ciptadenjumbo,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,13,
Ciptaden kecil,ciptadenkecil,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,13,
Cabion 100gr,cabion100gr,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,11,
NPK 30 6 8 KUJANG 25KG,npk3068kujang25kg,52.94%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,17,
Centador 100gr,centador100gr,52.94%,CAP TAWON 18-12-6,captawon18126,Tawon,Majemuk,18-12-6,13,
